Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,EvolvedLookerUp2_2_2,2.8633369098712445,0.7364890557939914,52.0,1.0,0.6642530042918456,0.07223605150214592,0.15178605150214589,0.11172489270386264,0.8614412041658219,0.4385663601935453,0.5220816647182248,0.7972217707405693
1,Evolved HMM 5,2.862092274678111,0.7441251072961373,47.0,1.0,0.6957849785407726,0.048340128755364836,0.12977124463519307,0.12610364806866953,0.997536108109503,0.4787242753190402,0.015155667589867961,0.20439925483153973
2,PSO Gambler 2_2_2,2.846695278969957,0.6949087982832618,47.0,1.0,0.6243321888412018,0.0705766094420601,0.16683605150214595,0.1382551502145923,0.8702357879361956,0.41115501896743945,0.5047298264097496,0.39530806518527434
3,Evolved FSM 16,2.8426716738197424,0.7154188841201716,65.0,1.0,0.6241948497854076,0.09122403433476399,0.17101716738197428,0.11356394849785413,0.8351734214793344,0.5717841253911038,0.47627907523874047,0.37036882919566555
4,Evolved FSM 16 Noise 05,2.84162017167382,0.7197169527896996,45.5,1.0,0.6986281115879828,0.02108884120171672,0.11637103004291847,0.16391201716738196,0.9823179118231357,0.5663648368841168,0.3985148821939087,0.07323224504251839
5,Evolved ANN 5,2.835246781115881,0.7029257510729614,48.0,1.0,0.6897218884120172,0.0132038626609442,0.1169727467811158,0.18010150214592272,0.9652288967052799,0.7363526549410966,0.1619245631803755,0
6,Evolved ANN,2.8298390557939914,0.6986158798283262,48.0,1.0,0.684871888412017,0.01374399141630901,0.1184721030042919,0.18291201716738206,0.9789194128621144,0.7232637687658628,0.3423731505933319,0
7,PSO Gambler 1_1_1,2.8240879828326184,0.7048023605150214,52.0,1.0,0.6715341201716738,0.033268240343347626,0.1288111587982833,0.16638648068669531,1.0,0.3071217863934313,0,0.1277666700227867
8,PSO Gambler Mem1,2.823905579399141,0.7304045064377682,49.0,1.0,0.6898633047210299,0.04054120171673822,0.12136094420600863,0.1482345493562233,1.0,0.5190544043291502,0,0.12150674742654578
9,Evolved FSM 4,2.8159763948497853,0.776687982832618,41.0,1.0,0.6754892703862659,0.10119871244635194,0.14147446351931342,0.08183755364806872,0.9377807468390701,0.44002290005440753,0,0.7876241071576509
10,Evolved ANN 5 Noise 05,2.8005472103004303,0.7568079399141631,36.0,1.0,0.7272688841201717,0.02953905579399142,0.0938830472103005,0.1493090128755365,0.98072939357029,0.8607755250104023,0.4884804219052606,0.1716910738425155
11,"DBS: 0.75, 3, 4, 3, 5",2.7933476394849794,0.7404761802575107,35.0,1.0,0.7139304721030044,0.026545708154506426,0.0979613733905579,0.1615624463519313,0.9852365269990112,0.7948637005757511,0.3036419110240411,0.1745010266969104
12,"Omega TFT: 3, 8",2.7863626609442056,0.7252195278969957,40.0,1.0,0.7141090128755362,0.011110515021459228,0.09241888412017178,0.18236158798283275,0.9996757531441748,0.1743019783076725,0.5778614854355673,0.013070643535547821
13,Winner12,2.776684549356223,0.6864231759656653,48.0,1.0,0.6494148068669529,0.03700836909871244,0.12853261802575106,0.18504420600858368,1.0,0.39238667033311486,0,0.4844672252823541
14,"DoubleCrosser: (D, D)",2.7729935622317576,0.6791122317596566,181.0,1.0,0.6636851931330467,0.01542703862660944,0.11540515021459238,0.2054826180257514,0.9963160293703586,0.8019761152689168,0.2630033062545318,0
15,PSO Gambler 2_2_2 Noise 05,2.7696566523605153,0.7246274678111588,45.0,1.0,0.6687163090128756,0.0559111587982833,0.12215236051502153,0.15322017167381968,0.851897030857356,0.5005677560610355,0.7027333443222334,0.3134906369022833
16,Gradual,2.763669527896996,0.791525965665236,40.0,1.0,0.7505772532188841,0.040948712446351905,0.07567381974248938,0.13280021459227465,1.0,0.38163459918972353,0.36238300044194127,0.22964946518245583
